date,place,risk_score
2020-08-31,Rancho Palos Verdes,42.429279814923504
2020-09-01,Rancho Palos Verdes,40.343742074128194
2020-09-02,Rancho Palos Verdes,37.394070249109944
2020-09-03,Rancho Palos Verdes,33.42342557756898
2020-09-04,Rancho Palos Verdes,29.36223891271932
2020-08-31,Redondo Beach,104.80968940845095
2020-09-01,Redondo Beach,97.87168857232002
2020-09-02,Redondo Beach,90.94509289728609
2020-09-03,Redondo Beach,81.39098512673539
2020-09-04,Redondo Beach,71.58432513690043
2020-08-31,Reseda,235.95175215822042
2020-09-01,Reseda,228.42016060892848
2020-09-02,Reseda,215.21416768125133
2020-09-03,Reseda,195.3434809555024
2020-09-04,Reseda,174.43707585174363
2020-08-31,Rolling Hills,1.5993517619762092
2020-09-01,Rolling Hills,1.5761932209504395
2020-09-02,Rolling Hills,1.5003333983923086
2020-09-03,Rolling Hills,1.370995965062128
2020-09-04,Rolling Hills,1.2366911813522317
2020-08-31,Rolling Hills Estates,7.595065312148331
2020-09-01,Rolling Hills Estates,6.903096337492499
2020-09-02,Rolling Hills Estates,6.3497203734426515
2020-09-03,Rolling Hills Estates,5.612308835436174
2020-09-04,Rolling Hills Estates,4.860817027227327
2020-08-31,San Dimas,114.56690682822773
2020-09-01,San Dimas,109.63457680228404
2020-09-02,San Dimas,102.22416815165623
2020-09-03,San Dimas,91.99484166784734
2020-09-04,San Dimas,81.45887410999974
2020-08-31,San Fernando,186.40307970819046
2020-09-01,San Fernando,171.67991659698927
2020-09-02,San Fernando,157.85945780092922
2020-09-03,San Fernando,139.90134619394215
2020-09-04,San Fernando,121.7249162132186
2020-08-31,San Pedro,320.49850846586247
2020-09-01,San Pedro,279.75444393090464
2020-09-02,San Pedro,258.3816667080637
2020-09-03,San Pedro,228.99275261045287
2020-09-04,San Pedro,198.68265830761942
2020-08-31,Sherman Oaks,110.88996501998695
2020-09-01,Sherman Oaks,99.75616741403807
2020-09-02,Sherman Oaks,92.2303206117801
2020-09-03,Sherman Oaks,81.97820580234733
2020-09-04,Sherman Oaks,71.4236220300461
2020-08-31,South El Monte,274.28437850036005
2020-09-01,South El Monte,266.6480627158483
2020-09-02,South El Monte,249.9921062819509
2020-09-03,South El Monte,226.3142804052164
2020-09-04,South El Monte,201.94687616188676
2020-08-31,South Gate,538.0114119897261
2020-09-01,South Gate,536.0767079918803
2020-09-02,South Gate,494.47244124760374
2020-09-03,South Gate,441.1437251916534
2020-09-04,South Gate,388.3804883841898
2020-08-31,South Pasadena,132.07061443737638
2020-09-01,South Pasadena,123.91048686321315
2020-09-02,South Pasadena,114.45764518337752
2020-09-03,South Pasadena,101.81411603323096
2020-09-04,South Pasadena,89.00560645642142
2020-08-31,Studio City,62.51198737583164
2020-09-01,Studio City,59.97749853982512
2020-09-02,Studio City,56.06814287918543
2020-09-03,Studio City,50.56280929520096
2020-09-04,Studio City,44.88793173629899
2020-08-31,Sun Valley,209.08243019989223
2020-09-01,Sun Valley,206.41703569345557
2020-09-02,Sun Valley,193.61772870423562
2020-09-03,Sun Valley,175.21782271969224
2020-09-04,Sun Valley,156.01654097791402
2020-08-31,Sunland,72.51847519274126
2020-09-01,Sunland,64.34316568167309
2020-09-02,Sunland,58.642599116273004
2020-09-03,Sunland,51.29964236904462
2020-09-04,Sunland,43.94178886050101
2020-08-31,Sylmar,448.96169593366574
2020-09-01,Sylmar,406.30393089364367
2020-09-02,Sylmar,373.48191030330787
2020-09-03,Sylmar,330.438145986084
2020-09-04,Sylmar,286.8272324106611
2020-08-31,Tarzana,54.39365073076781
2020-09-01,Tarzana,52.36706506393592
2020-09-02,Tarzana,48.58433015530481
2020-09-03,Tarzana,43.51018626168206
2020-09-04,Tarzana,38.3605918035742
2020-08-31,Torrance,192.13815378996853
2020-09-01,Torrance,182.43592182361246
2020-09-02,Torrance,164.4017313276361
2020-09-03,Torrance,142.02609123535635
2020-09-04,Torrance,120.89212991272821
2020-08-31,Tujunga,104.4945472599612
2020-09-01,Tujunga,96.68730739001248
2020-09-02,Tujunga,89.83683587087272
2020-09-03,Tujunga,80.1554222614829
2020-09-04,Tujunga,70.41513359812848
